entity_type,entity_id,entity_name,property_key,property_value,relationship_type,target_entity_id,target_entity_name,relationship_property_key,relationship_property_value,date,amount,percentage,notes
Organization,ORG001,HYBE,type,K-pop company,,,,,,,,,"Largest K-pop company in the world, formerly Big Hit Entertainment"
Organization,ORG001,HYBE,founded,2005,,,,,,,,,"Founded 19 years ago as Big Hit Entertainment"
Organization,ORG001,HYBE,market_cap_krw,7160000000000,,,,,,2024-09-09,,,"KRW 7.16 trillion"
Organization,ORG001,HYBE,market_cap_usd,5370000000,,,,,,2024-09-09,,,"USD $5.37 billion"
Organization,ORG001,HYBE,revenue_2023_usd,1660000000,,,,,,2023,,,"USD $1.66 billion"
Organization,ORG001,HYBE,international_revenue_percentage,64,,,,,,2023,,64%,"64% of revenue from outside South Korea"
Organization,ORG001,HYBE,stock_performance,-31.68,,,,,,2024-09-09,,-31.68%,"Year-to-date decline as of Sept 9, 2024"
Organization,ORG001,HYBE,total_common_shares,41650000,,,,,,2024-06-30,,,"41.65 million common shares outstanding"
Person,PER001,Bang Si-hyuk,role,Founder and Chairman,FOUNDED,ORG001,HYBE,,,,,,"Stepped down as CEO in 2021, remains Chairman"
Person,PER001,Bang Si-hyuk,wealth_status,Billionaire,OWNS_SHARES_IN,ORG001,HYBE,shares,13150000,2024-06-30,1619000000,31.57%,"31.57% ownership, worth $1.619 billion"
Organization,ORG002,Netmarble Corporation,type,Video game developer,OWNS_SHARES_IN,ORG001,HYBE,shares,3930000,2024-06-30,483800000,9.44%,"9.44% ownership, worth $483.8 million"
Organization,ORG002,Netmarble Corporation,founded,2000,,,,,,,,,"Founded in 2000"
Organization,ORG002,Netmarble Corporation,initial_stake,25.71,ACQUIRED_STAKE_IN,ORG001,HYBE,,,2018,,25.71%,"Initial stake acquired in 2018, before IPO"
Person,PER002,Bang Jun-hyuk,role,Founder of Netmarble,FOUNDED,ORG002,Netmarble Corporation,,,,,,"Relative of Bang Si-hyuk"
Person,PER002,Bang Jun-hyuk,relationship,Relative of Bang Si-hyuk,RELATED_TO,PER001,Bang Si-hyuk,,,,,,"Family relationship"
Person,PER002,Bang Jun-hyuk,netmarble_ownership,24.12,OWNS_SHARES_IN,ORG002,Netmarble Corporation,,,2023-12-31,,24.12%,"Owns 24.12% of Netmarble, effectively controlling additional 2.27% of HYBE"
Organization,ORG003,National Pension Service,type,Public pension fund,OWNS_SHARES_IN,ORG001,HYBE,shares,2650000,2024-06-30,325900000,6.36%,"6.36% ownership, worth $325.9 million"
Organization,ORG003,National Pension Service,assets_under_management,850000000000,,,,,,,,,"$850 billion AUM, world's 3rd-largest public pension fund"
Organization,ORG004,Dunamu Co. Ltd.,type,Fintech company,OWNS_SHARES_IN,ORG001,HYBE,shares,2300000,2024-06-30,283400000,5.53%,"5.53% ownership, worth $283.4 million"
Organization,ORG004,Dunamu Co. Ltd.,business,Blockchain asset trading,,,,,,,,,"Operates Upbit cryptocurrency exchange"
Person,PER003,Song Chi-hyung,role,Founder of Dunamu,FOUNDED,ORG004,Dunamu Co. Ltd.,,,,,,"Estimated worth $950 million"
Group,GRP001,BTS,type,K-pop boy band,PROPELLED,ORG001,HYBE,,,,,,"Musical phenomenon that propelled HYBE to prominence"
Group,GRP001,BTS,total_shares_granted,478695,OWNS_SHARES_IN,ORG001,HYBE,,,2018,,1.15%,"Total of 1.15% ownership across all members"
Person,PER004,Jin,role,BTS member,MEMBER_OF,GRP001,BTS,shares,62784,2023-01,,0.16%,"Initial grant of 68,385 shares in 2018"
Person,PER005,Suga,role,BTS member,MEMBER_OF,GRP001,BTS,shares,68385,2024,,0.16%,"Estimated 68,385 shares, worth ~$8.42M"
Person,PER006,J-Hope,role,BTS member,MEMBER_OF,GRP001,BTS,shares,62784,2023,,,"Reduced stake from original grant"
Person,PER007,RM,role,BTS member,MEMBER_OF,GRP001,BTS,shares,62784,2023,,,"Reduced stake from original grant"
Person,PER008,Jimin,role,BTS member,MEMBER_OF,GRP001,BTS,shares,68385,2024,,0.16%,"Estimated 68,385 shares, worth ~$8.42M"
Person,PER009,V,role,BTS member,MEMBER_OF,GRP001,BTS,shares,68385,2024,,0.16%,"Estimated 68,385 shares, worth ~$8.42M"
Person,PER010,Jungkook,role,BTS member,MEMBER_OF,GRP001,BTS,shares,68385,2024,,0.16%,"Estimated 68,385 shares, worth ~$8.42M"
Organization,ORG005,Ithaca Holdings,type,Entertainment company,ACQUIRED_BY,ORG001,HYBE,,,2021,1000000000,,"Acquired for $1 billion+"
Person,PER011,Scooter Braun,role,CEO of HYBE America,FOUNDED,ORG005,Ithaca Holdings,,,,,,"Joined HYBE board after acquisition"
